headers
1	TIMOTHY	59524.40690602827	1128 M
2	BRIAN	58849.87246758936	2314 M
3	JOHN	58559.20936001384	6047 M
4	PATRICK	57833.063431372495	1428 M
5	JAMES	57624.205968712806	4155 M
6	EDWARD	57159.893594812165	1619 M
7	PAUL	56767.01024555974	1914 M
8	RICHARD	56202.16088778486	2816 M
9	CHRISTOPHER	56159.65835764336	3428 M
10	VINCENT	56150.215454545374	1177 M
11	PETER	56057.50471519055	1896 M
12	MICHAEL	55963.96709229322	9069 M
13	KEVIN	55768.511855878285	2484 M
14	WILLIAM	55709.03566377433	3111 M
15	ROBERT	55664.4211145201	4890 M
16	STEPHEN	55423.45273793096	1450 M
17	JOSEPH	54879.92022536953	5014 M
18	FRANK	54807.24837224805	1499 M
19	MARK	54547.8449396135	1656 M
20	KENNETH	54379.48041252859	1309 M
21	SEAN	54292.93411873837	1078 M
22	STEVEN	54065.97370232642	2150 M
23	DANIEL	54026.940898804634	3093 M
24	JEFFREY	54002.31316506402	1248 M
25	ERIC	53990.30220744674	1504 M
26	MATTHEW	52926.99069705195	2238 M
27	ANDREW	52286.57123184282	1721 M
28	DAVID	51942.3035922843	3836 M
29	GEORGE	51555.963751824755	1370 M
30	GREGORY	51393.41814814807	1242 M
31	CHARLES	50940.1447066666	1500 M
32	JASON	50409.28779141098	1630 M
33	ANTHONY	50022.98345030846	3733 M
34	NICHOLAS	48999.79139711461	1317 M
35	RONALD	48960.07191489353	1034 M
36	SUSAN	47378.13110708903	1933 F
37	CARLOS	46303.201178637195	1086 M
38	KAREN	45673.2856057509	1948 F
39	JOSE	45668.61036757369	1986 M
40	LUIS	45062.66125214407	1166 M
41	LISA	45055.74532430675	2806 F
42	JONATHAN	44847.05537219098	1424 M
43	KATHLEEN	44183.39974726193	1187 F
44	DEBRA	43945.029950049924	1001 F
45	NANCY	43909.84283469941	1464 F
46	ANDREA	43606.42998415207	1262 F
47	DEBORAH	43483.51693062822	1528 F
48	SHARON	43124.83419808299	1565 F
49	DONNA	42955.73847253575	1329 F
50	JENNIFER	42682.941853242104	3734 F
51	CYNTHIA	42628.3423295454	1232 F
52	JACQUELINE	42618.70805202302	1730 F
53	CHRISTINE	42559.15898630332	1825 F
54	LAURA	42465.99371189474	1673 F
55	LAUREN	42415.60824982831	1457 F
56	MELISSA	42363.95543352799	1903 F
57	DENISE	41819.841672555856	1698 F
58	DIANE	41529.49355308215	1168 F
59	MICHELLE	41442.97051724302	2494 F
60	ELIZABETH	41309.7674229408	2790 F
61	DANIELLE	41306.0352519893	1508 F
62	MARGARET	41243.56513058124	1187 F
63	DIANA	40790.46761489695	1262 F
64	SARAH	40323.127012195044	1148 F
65	PATRICIA	40095.56616717004	2656 F
66	SANDRA	39980.768245177256	1607 F
67	BARBARA	39977.535783664454	1812 F
68	MARY	39970.693072728616	2200 F
69	KIMBERLY	39804.03804036997	1189 F
70	CATHERINE	39769.091162393124	1170 F
71	NICOLE	39664.780025169784	2384 F
72	JESSICA	39482.86607778429	2417 F
73	THERESA	39287.99157649246	1072 F
74	LINDA	39273.64753040709	1891 F
75	CAROL	39074.09162135919	1030 F
76	ANGELA	38738.27615570305	1657 F
77	CHRISTINA	38419.29759845053	1549 F
78	MARIE	38032.20907730669	1203 F
79	ANNA	37951.66959780617	1094 F
80	STEPHANIE	37721.661040816245	1960 F
81	MARIA	36500.43956663646	4292 F
82	ANA	35553.09226503755	1064 F
83	CARMEN	34667.162981549794	1355 F
84	AMANDA	34132.43665502171	1145 F
